Baso population #,Metric 1,Metric 2,Metric 3,Metric 4,Metric 5,Metric 6,Metric 7,Metric 8,Metric 9,Metric 10,Metric 11,Metric 12,% of activated basophils
1,0.878121892,0.736378527,0.684159638,0.649627657,0.577577145,0.463649918,0.043667778,-0.121290837,-0.119048434,-0.181664279,-0.259243844,-0.359103513,65.9
1,0.838549724,0.725869827,0.715937452,0.612871873,0.590617184,0.513955125,0.043768478,-0.097848087,-0.115596628,-0.158376667,-0.226867861,-0.245238454,65.9
1,1.124564299,1.109880976,1.023237143,0.910633764,0.821639529,0.724593122,-0.044300743,-0.189104237,-0.186077441,-0.175043358,-0.240702271,-0.295828552,65.9
1,0.915786108,0.776192728,0.737379135,0.661056039,0.580769667,0.465550228,-0.014988543,-0.17878631,-0.144175675,-0.233244454,-0.250809386,-0.299738776,65.9
1,0.80414079,0.74304459,0.696254746,0.614871856,0.537705934,0.462466108,-0.071319586,-0.115748563,-0.096766297,-0.186243117,-0.204882149,-0.33882427,65.9
1,1.024954805,0.824045824,0.804764804,0.700687265,0.610889548,0.518282047,-0.06469642,-0.182444347,-0.223268866,-0.180525185,-0.250623713,-0.37066344,65.9
1,1.128611607,0.971843224,0.932362258,0.773776954,0.681296656,0.596420055,-0.020004173,-0.177594146,-0.209204739,-0.195696881,-0.246837595,-0.274453785,65.9
1,1.117506286,0.992669088,0.959757508,0.798344154,0.727504728,0.565289253,0.05113359,-0.146477098,-0.186225314,-0.224284184,-0.273835168,-0.317782178,65.9
1,1.00402627,0.869164299,0.828194203,0.716990302,0.617512723,0.539086956,-0.093596219,-0.155074129,-0.197391848,-0.223980602,-0.26038305,-0.269009296,65.9
1,0.878871315,0.827617564,0.777664978,0.717680106,0.613789122,0.550594739,-0.021709443,-0.11886233,-0.128035517,-0.153933626,-0.241897969,-0.297733956,65.9
1,0.766950382,0.695141885,0.6612866,0.561558791,0.516019986,0.462506057,-0.035284792,-0.18469699,-0.12483049,-0.191416055,-0.244288757,-0.30156646,65.9
1,0.761190741,0.734143165,0.720143042,0.658084765,0.553997163,0.453553964,-0.024253623,-0.130972071,-0.071803457,-0.223660496,-0.279533019,-0.317722488,65.9
1,1.045951718,0.956501559,0.949486234,0.778311303,0.711458887,0.601051049,-0.016736666,-0.192050794,-0.215519146,-0.224178665,-0.268092142,-0.305194063,65.9
1,0.899000848,0.822239139,0.813279613,0.69112467,0.650244279,0.604447143,0.01602287,-0.14545677,-0.159259429,-0.156867891,-0.21432032,-0.291659582,65.9
1,0.88376906,0.775820737,0.76427644,0.632015961,0.579272274,0.491537179,0.078399888,-0.180206529,-0.163359451,-0.184236864,-0.271665516,-0.270032226,65.9
1,0.965045182,0.734253513,0.708274987,0.6538467,0.550508124,0.494286621,-0.051288727,-0.127458112,-0.155034017,-0.174561831,-0.19954054,-0.363376052,65.9
1,0.898903697,0.746508964,0.74723021,0.670109519,0.597575,0.511038887,-0.027111503,-0.138745352,-0.127491379,-0.161390223,-0.259860213,-0.32557138,65.9
1,0.91613414,0.811258912,0.768442843,0.683451219,0.606909611,0.572570662,0.038392807,-0.107574219,-0.112597621,-0.102078232,-0.178239142,-0.292663696,65.9
1,0.988604529,0.914409849,0.904527302,0.776179589,0.6697831,0.568846923,0.016897972,-0.138874954,-0.200011912,-0.19467614,-0.264618573,-0.347454745,65.9
1,0.761352199,0.720962288,0.745791609,0.638027202,0.576439181,0.483192172,-0.012560727,-0.125832583,-0.093423322,-0.243390828,-0.280495128,-0.248723408,65.9
1,1.136169155,1.091614098,1.085102566,0.787676934,0.644351737,0.54138667,0.018662914,-0.166091155,-0.200751139,-0.352819731,-0.411762202,-0.46401449,65.9
1,0.986983962,0.982951605,0.954274442,0.767700082,0.636794938,0.55696266,-0.00638672,-0.108423874,-0.16177394,-0.274579498,-0.346500766,-0.395801823,65.9
1,0.822297559,0.638323265,0.667066102,0.602272599,0.519393284,0.452537397,0.040444046,-0.080241163,-0.144242755,-0.170505125,-0.237201473,-0.305300652,65.9
